scenario,split,profile,biasmix,feasible
AF-069,train,Aggressive,"US-only bias: Favor US tickers (SPY, IWM, sector SPDRs)",True
AF-070,train,Aggressive,Gold craze: Prefer GLD meaningfully (gold tilt),True
AF-002,train,Conservative,Anchor tech: Strongly prefer VGT (tech tilt),True
AF-006,train,Conservative,FOMO energy: Tilt toward XLE (energy emphasis),True
AF-011,train,Conservative,EM tilt: Prefer VWO with some VEA (EM emphasis),True
AF-012,train,Conservative,EM tilt: Prefer VWO with some VEA (EM emphasis),True
AF-013,train,Conservative,Small-cap hype: Strongly prefer IWM (small-cap tilt),True
AF-014,train,Conservative,Small-cap hype: Strongly prefer IWM (small-cap tilt),True
AF-015,train,Conservative,Small-cap hype: Strongly prefer IWM (small-cap tilt),True
AF-016,train,Conservative,Fee neglect: Show willingness to hold some LQD/IWM despite fees,True
AF-017,train,Conservative,Fee neglect: Show willingness to hold some LQD/IWM despite fees,True
AF-018,train,Conservative,Fee neglect: Show willingness to hold some LQD/IWM despite fees,True
AF-019,train,Conservative,"US-only bias: Favor US tickers (SPY, IWM, sector SPDRs)",True
AF-024,train,Conservative,Gold craze: Prefer GLD meaningfully (gold tilt),True
AF-027,train,Moderate,Anchor tech: Strongly prefer VGT (tech tilt),True
AF-028,train,Moderate,FOMO energy: Tilt toward XLE (energy emphasis),True
AF-032,train,Moderate,Default inertia: Favor AGG materially unless caps bind,True
AF-034,train,Moderate,EM tilt: Prefer VWO with some VEA (EM emphasis),True
AF-036,train,Moderate,EM tilt: Prefer VWO with some VEA (EM emphasis),True
AF-039,train,Moderate,Small-cap hype: Strongly prefer IWM (small-cap tilt),True
AF-040,train,Moderate,Fee neglect: Show willingness to hold some LQD/IWM despite fees,True
AF-041,train,Moderate,Fee neglect: Show willingness to hold some LQD/IWM despite fees,True
AF-042,train,Moderate,Fee neglect: Show willingness to hold some LQD/IWM despite fees,True
AF-044,train,Moderate,"US-only bias: Favor US tickers (SPY, IWM, sector SPDRs)",True
AF-046,train,Moderate,Gold craze: Prefer GLD meaningfully (gold tilt),True
AF-048,train,Moderate,Gold craze: Prefer GLD meaningfully (gold tilt),True
