split,profile,model,mode,n,mean,median,ci_lo,ci_hi
train,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,12.0,0.0022242244766405243,0.0,0.0,0.004926675835113297
train,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,12.0,0.0,0.0,0.0,0.0
train,Conservative,gemini-2.5-flash,critique,12.0,0.23607266500009527,0.2321436016256782,0.19848737817144466,0.2781063709055105
train,Conservative,gemini-2.5-flash,direct,12.0,0.3740772474118488,0.4162724455955027,0.2935275486049854,0.4511939457113819
train,Conservative,gemini-2.5-flash,sc,12.0,0.2579800781647961,0.2552668652200577,0.22744407407058184,0.2913313157441718
train,Conservative,gpt-5-nano,critique,12.0,0.2683828294280889,0.27057811281793964,0.23517543694226947,0.299346657482891
train,Conservative,gpt-5-nano,direct,12.0,0.2813380127127784,0.2557685326171891,0.24538842850594492,0.3247438837458754
train,Conservative,gpt-5-nano,sc,12.0,0.2682962565197296,0.289746740507562,0.23431266787339,0.29971832189246
train,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,12.0,0.16551806525746096,0.1458735776885564,0.14606736930568343,0.19652282474612306
train,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,12.0,0.22665769234174324,0.19683458621790756,0.19363141895966238,0.26173536634290934
train,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,12.0,0.23330644320216623,0.23969183224554083,0.19198513538571405,0.27305844977347166
train,Moderate,gemini-2.5-flash,critique,12.0,0.03907494506390092,0.018193065963481417,0.00959209585587584,0.07930533382786083
train,Moderate,gemini-2.5-flash,direct,12.0,0.06309021914525888,0.03514572781252265,0.03325987343611025,0.0981622772432254
train,Moderate,gemini-2.5-flash,sc,12.0,0.014642600187015284,0.0,0.0018650642806239959,0.03594973704121732
train,Moderate,gpt-5-nano,critique,12.0,0.14105325942709313,0.1140322715379675,0.06566060467518982,0.2518318062395346
train,Moderate,gpt-5-nano,direct,12.0,0.1269446264104266,0.10970048378418933,0.0860792210200197,0.17963533585241334
train,Moderate,gpt-5-nano,sc,12.0,0.07452015020079492,0.05458215849872494,0.03732148405871794,0.1133672434329802
train,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,12.0,0.014228265887848382,0.0,0.0018193298613271732,0.030552204630818983
train,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,12.0,0.041762720498310396,0.022350827078103947,0.01540418088312215,0.07240728361484618
train,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,12.0,0.015573595203937649,0.0,0.002772154532657435,0.03298712329417418
