split,profile,model,mode,n,x,rate,ci_lo,ci_hi
test,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,7.0,0.0,0.0,5.551115123125783e-17,0.35433043506668743
test,Conservative,gemini-2.5-flash,critique,7.0,7.0,1.0,0.6456695649333126,1.0
test,Conservative,gemini-2.5-flash,direct,7.0,7.0,1.0,0.6456695649333126,1.0
test,Conservative,gemini-2.5-flash,sc,7.0,7.0,1.0,0.6456695649333126,1.0
test,Conservative,gpt-5-nano,critique,7.0,7.0,1.0,0.6456695649333126,1.0
test,Conservative,gpt-5-nano,direct,7.0,7.0,1.0,0.6456695649333126,1.0
test,Conservative,gpt-5-nano,sc,7.0,7.0,1.0,0.6456695649333126,1.0
test,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,7.0,7.0,1.0,0.6456695649333126,1.0
test,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,7.0,7.0,1.0,0.6456695649333126,1.0
test,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,7.0,7.0,1.0,0.6456695649333126,1.0
test,Moderate,gemini-2.5-flash,critique,7.0,4.0,0.5714285714285714,0.2504583645276572,0.8417801447485302
test,Moderate,gemini-2.5-flash,direct,7.0,6.0,0.8571428571428571,0.4868721707256811,0.9743203756552565
test,Moderate,gemini-2.5-flash,sc,7.0,3.0,0.42857142857142855,0.15821985525146975,0.7495416354723428
test,Moderate,gpt-5-nano,critique,7.0,6.0,0.8571428571428571,0.4868721707256811,0.9743203756552565
test,Moderate,gpt-5-nano,direct,7.0,7.0,1.0,0.6456695649333126,1.0
test,Moderate,gpt-5-nano,sc,7.0,5.0,0.7142857142857143,0.35893445183261935,0.9177810759959433
test,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,7.0,5.0,0.7142857142857143,0.35893445183261935,0.9177810759959433
test,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,7.0,7.0,1.0,0.6456695649333126,1.0
test,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,7.0,4.0,0.5714285714285714,0.2504583645276572,0.8417801447485302
train,Aggressive,gemini-2.5-flash,critique,12.0,6.0,0.5,0.2537815976337061,0.7462184023662939
train,Aggressive,gemini-2.5-flash,direct,12.0,8.0,0.6666666666666666,0.39062208887279953,0.8618799089087867
train,Aggressive,gemini-2.5-flash,sc,12.0,0.0,0.0,2.7755575615628914e-17,0.24249400665524085
train,Aggressive,gpt-5-nano,critique,12.0,3.0,0.25,0.08894166839405471,0.5323053349335657
train,Aggressive,gpt-5-nano,direct,12.0,5.0,0.4166666666666667,0.19326031365875665,0.6804886874504503
train,Aggressive,gpt-5-nano,sc,12.0,6.0,0.5,0.2537815976337061,0.7462184023662939
train,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,12.0,0.0,0.0,2.7755575615628914e-17,0.24249400665524085
train,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,12.0,3.0,0.25,0.08894166839405471,0.5323053349335657
train,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,12.0,0.0,0.0,2.7755575615628914e-17,0.24249400665524085
train,Conservative,gemini-2.5-flash,critique,12.0,12.0,1.0,0.7575059933447592,1.0
train,Conservative,gemini-2.5-flash,direct,12.0,12.0,1.0,0.7575059933447592,1.0
train,Conservative,gemini-2.5-flash,sc,12.0,12.0,1.0,0.7575059933447592,1.0
train,Conservative,gpt-5-nano,critique,12.0,12.0,1.0,0.7575059933447592,1.0
train,Conservative,gpt-5-nano,direct,12.0,12.0,1.0,0.7575059933447592,1.0
train,Conservative,gpt-5-nano,sc,12.0,12.0,1.0,0.7575059933447592,1.0
train,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,12.0,12.0,1.0,0.7575059933447592,1.0
train,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,12.0,12.0,1.0,0.7575059933447592,1.0
train,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,12.0,12.0,1.0,0.7575059933447592,1.0
train,Moderate,gemini-2.5-flash,critique,12.0,7.0,0.5833333333333334,0.31951131254954973,0.8067396863412435
train,Moderate,gemini-2.5-flash,direct,12.0,10.0,0.8333333333333334,0.5519691377470266,0.9530348578161463
train,Moderate,gemini-2.5-flash,sc,12.0,5.0,0.4166666666666667,0.19326031365875665,0.6804886874504503
train,Moderate,gpt-5-nano,critique,12.0,12.0,1.0,0.7575059933447592,1.0
train,Moderate,gpt-5-nano,direct,12.0,12.0,1.0,0.7575059933447592,1.0
train,Moderate,gpt-5-nano,sc,12.0,9.0,0.75,0.46769466506643426,0.9110583316059453
train,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,12.0,4.0,0.3333333333333333,0.13812009109121315,0.6093779111272004
train,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,12.0,8.0,0.6666666666666666,0.39062208887279953,0.8618799089087867
train,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,12.0,5.0,0.4166666666666667,0.19326031365875665,0.6804886874504503
